mailservice,Wed Aug  3 20:13:50 2022,Broken pipe, [core/writer.c line 248] during GET /api/company/list (45.65.222.116)
mailservice,Wed Aug  3 20:13:54 2022,Broken pipe, [core/writer.c line 248] during GET /api/company/list (45.65.222.116)
botservice,,UndefinedValueError:, DB_ICMAIN_NAME not found. Declare it as envvar or define a default value.
botservice,,ValueError:, invalid literal for int() with base 10: ''
botservice,,ValueError:, Field 'id' expected a number but got ''.
botservice,,ValueError:," not enough values to unpack (expected 2, got 1)"
botservice,,DecodeError:, Not enough segments
botservice,,NameError:, name 'jwt' is not defined
botservice,,OSError:, write error
botservice,,Internal Server Error:, /api/users/create
botservice,,Internal Server Error:, /api/company/list
